ticker,abn,supplier_name_raw,cn_count,total_aud,include
ALQ,84009936029,Australian Laboratory Services Pty,13,1168266,y
ALQ,17084059601,SUGAR TERMINALS LIMITED,2,631990,n
AML3D,55602857983,AML3D LIMITED,3,326791,y
ASB,80079160679,AUSTAL SHIPS PTY LTD,118,1255554180,y
ASB,86689561797,AUSTAL DEFENCE SHIPBUILDING AUSTRALIA,1,561019544,y
ASB,73009250266,AUSTAL LIMITED,4,1846911,y
ASB,74160267934,AUSTAL SERVICE DARWIN PTY LTD,9,619565,y
ASB,40009668553,Austalian Institute of Management Educationa and Training Pty Ltd,1,74160,n
ASB,70001002357,Reed International Books Austalia Pty Ltd,1,64182,n
BAB,27001641292,BISALLOY STEEL PTY LTD.,8,16196229,y
CDA,77007590605,CODAN LIMITED,9,4171013,y
CDA,35008208446,MINELAB ELECTRONICS PTY LTD,10,228191,y
CVL,39618700637,CIVMEC DEFENCE INDUSTRIES PTY LTD,3,10299897,y
CVL,85138017651,CIVMEC HOLDINGS PTY LTD,5,6558866,y
CVL,98137816025,CIVMEC CONSTRUCTION & ENGINEERING PTY LTD,1,5923500,y
DOW,53000983700,DOWNER DEFENCE SERVICES PTY LTD,180,963816029,y
DOW,94743675741,The Trustee for CH Genge Landowner Trust,1,310798716,n
DOW,66008709608,DOWNER EDI WORKS,3,205333150,y
DOW,34129384032,DOWNER PROFESSIONAL SERVICES PTY LT,61,160896112,y
DOW,33437092373,DOWNER EDI WORKS PTY LTD & F.K. GARDNER & SONS PTY. LTD.,2,146724916,y
DOW,33232311721,52 Goulburn Landowner Pty Ltd ATF 52 GOULBURN LANDOWNING TRUST,2,106784036,n
DOW,68124429009,Yuku Baja Muliku Landowner and Reserves Ltd,3,1453867,n
DOW,26114790215,Envista Pty Limited A subsidiary of Downer EDI Limited,1,10450,n
DRO,18629844113,DRONESHIELD,11,28289336,y
DRO,44668560610,DRONESHIELD GROUP PTY LTD,6,17385148,y
DRO,26608915859,DRONESHIELD LIMITED,3,2794434,y
DTL,31010545267,Data#3 Limited,1519,1113650528,y
DTL,86001217527,DATA#3 LTD,1,14500,?
EOS,63052193192,EOS DEFENCE SYSTEMS PTY LIMITED,47,227778789,y
EOS,25100248253,EOS SPACE SYSTEMS PTY LTD,15,33479662,y
EOS,11008587451,ELECTRO OPTIC SYSTEMS PTY LTD,1,1810485,y
LLC,97000098162,LENDLEASE CONSTRUCTION,25,4303073607,y
LLC,56002625130,LENDLEASE CONSTRUCTION (SOUTHERN) PTY LIMITED,25,2598334627,y
LLC,61006505559,LENDLEASE CONSTRUCTION QLD / WA) PTY LTD,1,35516678,y
LLC,18604906685,Lendlease (Circular Quay) Pty Ltd as trustee for the Lendlease (Circular Quay) Trust,1,19991898,y
LLC,26387598253,LENDLEASE IMT (SM) PTY LTD,1,15400000,y
LLC,78172726703,Lendlease REP4 Asset Pty Limited,1,2943000,y
LLC,68720326224,CAPELLA CAPITAL  LEND LEASE PTY LIM,1,387567,?
LLC,34147913219,Lendlease Pty Limited,2,191782,?
MAH,30120810568,MacMahon Mining Sevices Pty Ltd,1,1937408,y
MP1,51164521519,Megaport (Australia) Pty Ltd,2,608205,?
NXT,35143582521,NEXTDC LIMITED,19,12963365,y
ORI,96610736799,KOKODA HISTORICAL,5,337700,n
ORI,13294026244,HISTORICAL AIRCRAFT RESTORATION SOC SOCIETY INC,1,51427,n
ORI,51754285063,Beulah Historical Learning & Progre Association Inc.,3,31823,n
SSM,20125062160,Service Stream Infrastructure Services Pty Ltd,1,1523335976,y
SVW,99074126971,COATES HIRE,114,21893493,y
SVW,63009342572,WESTRAC EQUIPMENT PTY LTD,173,10028658,y
SVW,51000756507,BORAL RESOURCES (NSW) PTY LTD,2,134660,n
SVW,70000614826,BORAL CONSTRUCTION MATERIALS LTD,1,67660,n
SVW,15000028080,Boral Construction Materials Group,1,51205,n
TNE,84010487180,TechnologyOne Pty Ltd,141,176243410,y
VNT,11093114553,VENTIA AUSTRALIA PTY LTD GEMS PROJECT,590,5088562718,y
VNT,16618028676,VENTIA PROPERTY PTY LTD,745,1315508809,y
VNT,86087485087,VENTIA ENGINEERING SERVICES,29,104829281,y
VNT,69010725247,VENTIA UTILITY SERVICES PTY LIMITED,9,59097033,y
VNT,64630194633,VENTIA PTY LTD,2,814895,?
VNT,19613078710,INVENTIA LIFE SCIENCE OPERATIONS PTY LTD,1,196460,n
VNT,51603146676,VENTIA PTY LIMITED,4,116816,y
VNT,69000484417,Broadspectrum,2,23309,n
VNT,51824753556,AUSTRALIAN TAXATION OFFICE C/- BROADSPECTRUM,1,23000,n
VNT,68706814312,VENTIA AUSTRALIA PTY L,1,14479,?
